label,text
optimism,Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power'
sadness,Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers
sadness,@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months 
anger,@alliex both, scrap *ll the rage instead
anticipation,I think they may be #offended
optimism,The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote
joy,Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing
sadness,I'm such a shy girl🙄
joy,@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. 
anticipation,Does Bret have a point? Cena, Balor, sting...
optimism,I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor
joy,@niceoneWern @Alotta_Pain the gleesome threesome
fear,induction day tomorrow for pizza express #nervous
joy,@SMalloy_LWOS that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through
joy,@DipstickDipper \n'It's alright!' She said cheerfully trying to make the moment fun
anger,@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult
fear,@SeanUnfiltered Texans are scared of this bunch! 
joy,Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival
anger,@LiamCannon1 He's just too raging to type properly... Ha ha!
optimism,i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation
sadness,One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness
joy,The Pats are awesome. Belichick is awesome ...they just are. 
anger,Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! 
fear,Now #India is #afraid of #bad .
joy,HMS Pinafore' time.\n\nI need some mirth.
fear,if Man U lose i may actually have a nervous breakdown
disgust,@thehill George H. Establishment is unhappy Trump's campaign branded his son low-energy, but he could not have beaten the others either.
joy,B day next week, catch the sauce and watch the heaviness!
optimism,Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural
anger,@ImJim_YoureNot  cyber bully
anger,@CNN bully
anticipation,Hannah: 'This week on Survivor: Find out who is more buoyant. Gen X or Millenials!' #survivor
joy,Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy
disgust,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of 
anger,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?
joy,The bounty hunter things a bit lively
joy,@WriterlyTweets Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer
disgust,@punjabified porkistan lost terribly in 65 because of american intervation to talk we stopped
joy,7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray
optimism,Dehydrated, exhausted, stressed but still blessed. #optimism
anticipation,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics 
optimism,Lunatic Asylum: The place where optimism most flourishes.
joy,Damn gud #premiere #LethalWeapon...#funny and #serious
fear,and claimed that all of the same things could scare us\nbut we were tough because of ancestry
sadness,It appears my fire alarm disapproves of my cooking style
anger,We're going to get City in the next round for a revenge.
joy,Watch this amazing live.ly broadcast by @iamjustinburke  #musically
fear,How I Murdered Your Mother #SpookyTv 
sadness,alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down
fear,I'm literally never home and my parents threaten to charge rent if I don't start cleaning the house everyday. OK.
fear,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous
anger,@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge
fear,I'm just tryna watch horror movies and nap all day
joy,As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.
anger,@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage
joy,something about opening mail is just...very pleasing
anticipation,I base when it's going to rain here off of brills snap stories.
fear,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.
sadness,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness
sadness,@SloanTheOtaku Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.
joy,@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley
anger,@The_Nasty_P now you gotta do that with fast n furious
disgust,I refuse to be a chirp chirp girl
anticipation,@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !
joy,@97_aleix having a terrific game and not at all fazed #MCFC
disgust,My house isnt always a mess but when it is, its when i have friends coming #mess #serious #twitter #problem #like #friends #filthy #home
joy,Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool
optimism,@TweeriaLee A stumbling block to the pessimist is a stepping stone to the optimist.
optimism,Listening to Joey really helps me and my anger.
joy,Another joyful encounter in Tribez &amp; Castlez! I just met Bartolomeo! Do you want to know who that is? Download the game and find out!
fear,@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??
fear,@BoudicaRides @realkingrobbo Isn't that exactly what they should do? What took so long? He is more #afraid of #ClintonMafia than #Congress
anger,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. 
optimism,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet
fear,Did you know I specialise in #anxiety  and #panic attacks? Get in touch for all of my solutions for you. #Coventry
fear,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ #fearful
optimism,@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? #optimism
disgust,Sky news still pushing the Brexit gloom line, managing to ignore the fact it's simply not happening. 'But in the future.....'
sadness,@Nataliem55 sadly, war has often been the factor that jump starts US economic growth
optimism,“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride 
joy,$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @Snowden
joy,I'm girly in the sense that I always have lashes &amp; nails done but tomboy in the sense that black is my only color &amp; refuse the ruffle life
joy,It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n#funny #pun #punny #lol #hilarious
joy,@jaymohr37 droop saw naked wrestling and asked 'What if I get a hole in one?' #jaymohrsports
sadness,@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.
fear,“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious
anger,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN
optimism,That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire
anger,Might just leave and aggravate bae
sadness,@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst
sadness,Rooney = whipping boy. #mufc #sad
joy,@zinabukvic_ cheer up
optimism,@GreggDoyelStar I'm sure you'll have a heyday if they do
sadness,@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We
sadness,it didn't impress me but it didn't depress me'
disgust,Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet
optimism,Amateurs sit and wait for inspiration, the rest of us just get up and go to work.' -- Stephen King #authors #serious #writingtip
joy,Is there a perfume that smells like the smell of smokey incense because i would be all about that
sadness,@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils
fear,#panic Panic attack from fear of starting new medication
sadness,@OniLink86 @DarekMeridian lmao awe...  #sad
sadness,So drunk me hid my keys very well sober me couldn't find it anywhere
joy,@LoriAlan1 Seriously. Digging those eyebrows. #animated
joy,Watch this amazing live.ly broadcast by @footballrocks123456  #musically
disgust,@vladfucker69 i look rabid
fear,Why are all of these people leaving Blizzard??? D: It's giving me a frighten!
joy,@_Briannax33 @TheFunnyVine @MarielaLynn_ @karengutiii_ gotta shake the booty instead though, makes sure it's all good 🙂
joy,Watch this amazing live.ly broadcast by @huntermcaseyy  #musically
disgust,@MichaelSalfino It still destroys Fear The Walking Dead. That show is horrible
anger,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite 
anger,WHY TF DO BROKE BOYS KEEP TRYNA FIND GF's? GET UR FUCKIN $$$ RIGHT B4 I SMACK YO BITCHASS, she deserves 2be happy &amp; u don't deserve that ass
joy,I'm moving this weekend &amp; my sugar daddy will replace it so, it is what it is. Niggas still happy.
anticipation,@davidplotz @Commentary She writes with sort of the same playful cynicism that you do! :)
anger,I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I #lol\n@SergioSarzedo
joy,@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha 
joy,Rooney = whipping boy. #mufc 
optimism,Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness
sadness,@l1ght__eyes u tried boiling em takes years too
anger,@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.
surprise,On the last episode of #MakingAMurderer poor Brendan glad they #appeal it #shocking #crime #documentary #reallife
joy,@macmacm43 jeezus God 
anger,I need some to help with my anger
sadness,Tho we haven't talked Jeff but the news is so sad and shocking. R.I.P Jeffrey
joy,Look at us, smiling in the photograph♪ You can see the secrets behind the fake smiles♪ (*・ω・*) (©FACT「a fact of life」)
sadness,We have left #Maine. #sadness
anticipation,@MarkedMurderer Orion's eyes narrowed as he gazed down at the girl, ice cold blues meeting a softer than usual green. His instinct told him-
joy,@bodwell_james did it not just enliven your soul
anger,i was angry.
optimism,Sometimes I think the British political landscape is desolate and then I look over at the foaming wasteland of the US and think we're OK
fear,I'm afraid she's the goat you libeling people? #afraid #goat #libeling
disgust,@mcauley_ross rojo is awful
sadness,And here we go again 😓 #restless
anger,Asian Tiger #Mosquitoes are so relentless. More aggressive than the kind I dealt w/as a kid.
anger,Glad I didn't watch smackdown because I can't see my men @JasonJordanJJ @WWEGable lose. #sohurt #revenge
joy,Just caught up with @RichardEGrant's wonderful new series on #EalingComedies. Infectious delight in every interview and film clip.
fear,Need good vibes for my doctors appointment tomorrow! #nervous
anticipation,I wonder what would happen if I were to tell some people the truth #savage #uhoh 
joy,We so elated, we celebrated like Obama waited until his last day in office to tell the nation, brothers is getting their reparations
sadness,@almurray hit the sink with a hammer... sorry, the universal modifier!
fear,@SeanLTheWriter Agree 100%... B. Marshall another concern... would much rather he rested this game...
anger,@joey_coops yes Hun! Avoid at all costs!! 
optimism,When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.
sadness,I mourn the creativity lost.
disgust,@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen
anger,Think of #anger as this barrier between you and your truth.' @laurascoe
anger,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage 
joy,@MrsTaraX @PlateGotAte YES! I am rejoicing
optimism,“Competition is suppose to motivate you to do better everytime not to be bitter all the time” -De philosopher DJ Kyos \n#quote #success #CSGO
anger,Have to say that third City kit is fucking awful. Someone at Nike wants shooting.
joy,@imjustatrankk awe yay wish i could rt /:
anger,#Anger or #wrath is an intense emotional response.
joy,I'm at the point in my life that I'm playing Christmas music in my room because i need winter and joyful times rn
sadness,Mom you remember when Narley died? You cried like a baby! 
fear,@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story
joy,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL 
fear,10 page script due Friday for class. Who said I could do this MFA thing? #panic #GradSchoolProblems #someonetelltinafeytohireme
disgust,@stevie7t Why does talksport sound like it's being broadcasted from someone's basement  #quality #amateurs
disgust,@FoRDaYS14 😳 chewing what?  #arcdental #turlock
joy,Harking back to 2012 - DT's challenge to @POTUS...I will give...DT a hearty thank you...if he will release his tax returns....
joy,@Blewberry02CP Content updates provoke that income.
optimism,@SalmonDelicious @bigdickkishibae I lost it at 18. Like, really not a big deal. Don't worry about trivial shit like that.
disgust,I should have stayed at home.
fear,First College Math Test tomorrow #nervous
disgust,@jonnyp_43 @MedicNow like going to a so called cardiac arrest that turned out to be a cut finger!  #medchat
sadness,@MHChat Childood experiences can  leave you with permanent deep sadness as adult  it can underlie everything #MHChat
joy,You forever straight so fix that frown u good😇 @amayyaaag__
fear,@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway
anger,I guess #bradangelina &gt; #anger &gt; #blacklivesmatter
optimism,Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them #optimism
sadness,Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest #sad
optimism,Do not grow weary in doing good.'\n\n-@billclinton
joy,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading
sadness,#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole
anticipation,Let's get drunk and tell each other things we're afraid to say when we're sober.
sadness,What day is it #lost
fear,@SeanUnfiltered Texans are scared of this bunch! #intimidated
optimism,@Ms_HeartAttack peanut butter takes away the sting
anticipation,No quite sure how Craig Gordon's stayed on the park there !!
fear,@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder
joy,@tweet_faver its reaper!! before he became reaper, you can find their stories on the wiki and thru the comics and animated shorts!
sadness,13 hour @bus rides make me  #sorry
anticipation,I hope my hustle don't offend nobody
joy,Rojo is hilarious
fear,@torreBe Te gusta American horror story y The walking dead?
disgust,Newly engaged Stevie Wonder has been trying to disguise #the #awful smell from his throat: with a leather jacket made from a broken Wii.
sadness,@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!
joy,@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future #bright #gottawearshades #LetsGoYankees
anger,Or when they hmu on snap, and I'm like.. which one are you. 💀
joy,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. 
joy,@johnwintertweet dudes who wanna play some bass but not buy a bass (me) rejoice
joy,It's finally raining in Ashland, Oregon. We've been parched all summer &amp; fall. The plants &amp; people are rejoicing!
fear,It's dark
anticipation,I need all your attention! If I don't I'll pout..
joy,I added Paul Walker on Xbox but he just spends all of his time on the dashboard. #dark #humor #funny
anticipation,Changing my hair again 
anticipation,Her charm is liveliness but this is also her weakness.
sadness,Q&amp;A with N. Christie @westernuHistory: fr. @marybethstart: What would Peter and Dardanella think of us knowing? #poorthings 
fear,#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar
anger,@steph_baker7 i tried to turn off my alarm this morning and it turned on all my alarms instead
optimism,@Cassena13 I know if I wasn't an optimist I would despair.
joy,@sundersays made me laugh, that quote. In a sort of rueful way.
fear,@skyfootball manchester united...still untrusted iam afraid i might loose my bet
joy,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #الخفجي
optimism,To tell the truth and make someone cry is better than to tell a lie and make someone smile. #truth #lie #cry #smile #offalonehugots
anticipation,Apparently all the money in the world can't buy a single person to tell you not give your own waist a hearty two-handed pinch while onstage.
sadness,75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.
disgust,if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him
anger,He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.
joy,Panda eyed jaunty after watching jaws until late!
joy,Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB
disgust,@ITdominiccoyle @IrishTimesBiz Between Barroso going to Goldman and this the @EU_Commission is getting a very serious self inflicted problem
joy,Banger sit in 2013 reason why we great doings him alias for why we rejoice in he.: kzfqR
fear,Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake  #horrorfilm
sadness,Depression sucks! 
fear,@WunderlistHelp are you guys still down? When can we go up? #panic
anger,I'm mad at the injustice, so I'm going to smash my neighbours windows'.  Makes perfect sense. #CharlotteProtest 
optimism,@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.
fear,How I Murdered Your Mother #SpookyTv #horror
joy,#AutumnalEquinox the nights are drawing in, what a great time to look at putting up some new #lights #dark #showroom #news #wirral
anger,Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡
sadness,Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here 🙃
anger,schneiderlin taking his revenge for the 2 fouls
optimism,Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.
joy,@Hails_Berry8 @sajedhariri23 varsity pine riding
joy,This has #turned out #better then I expected admitting you tried to #intimidate 😂😂 #cantstoplaughing I really can't and it's in #spokeword
surprise,@thixotropic No. Was so sudden. Hasn't sunk in yet. With Leo I knew it was coming.
joy,Watch this amazing live.ly broadcast by @izzybuzy365  #musically
pessimism,Actually I always idealize the end of my relationships .. Such a pessimist
optimism,matt and i just did a psychological study on provocation in abusive relationships.
anger,@Remedy0_ switch host no bullet rage.
fear,@schokokitsune As much as I always eat....so no. -w- \n\nBut I shake all the time, so eeeeh. Maybe I should go see a doctor 'cause of it .w.
fear,there are magpies gathering around me help I'm going to be swooped ! 
sadness,Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO
fear,I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too risky
joy,Watch this amazing live.ly broadcast by @swagrman_fan #lively #musically
fear,@lhbrown1990 @Jimcummingsacme I'm afraid to look!
anger,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 
joy,Friday is here, and we are open tonight and tomorrow. Get a jump on your Halloween and come play with us. #hauntedattraction #tulsa #haunt
sadness,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice  #sadness
fear,I feel really nervous, or anxious. Idk. My leg keeps shaking. Hmm
sadness,@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues
disgust,@Malkarii_ Korgoth of Barbaria for brutality, King Julian for hilarity, and Ariel... Because hot...
joy,aaahhhh! a little @OtisRedding to soothe the soul. #music #blues
optimism,@berniedole looks that way. But let's think about Rohan last week ... #optimism
joy,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL
pessimism,@T_newhouse13 as granny would say I don't know how to chirp
sadness,@RyhenMessedUp goodbye despair
surprise,Ronaldo has been shocking. He's tried to do skill twice and he's nearly fallen over both times
optimism,@LoyalLadyMalfoy &lt;• change them himself. He follows behind with a scowl pinching his lips and takes the sheets to his room. 'So who is •&gt;
sadness,I asked Jared to marry me and he said no. 
joy,im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat  #snapme #horny #porn #naked #young
sadness,@GlobeChadFinn Sadly, not enough names.  The whole farewell tour situation would make me shy away from good value b et.
anticipation,I have another test tonight 
joy,Why would Enrique sub off busquet? #hilarious
joy,@AlanAlanconway Same it's good but not great.Don't Breathe is the horror film of the month for me. My Fav horror film of the year (so far)
joy,We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime  #game
fear,i'd let jiho step on my throat but he'd probs be afraid he'd hurt me
anger,@The_Boxing_Hub #klitschko @Klitschko over fury any day #boxing
joy,@BBHOH #terrible Paul so deserved that win!!! #bbfail
love,It's meant to be!!  
fear,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack
joy,Well, this is cheery. #MrRobot
sadness,Is this the Krusty Krab?\n\nNo this is crippling depression
disgust,I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.
disgust,@ThomasHCrown @laurakfillault As a historic evangelical, I wonder if the Donatists had a point? What dreadful clergy in my fmr. circles.
sadness,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing
joy,It was an #amazing #start to the first #fall  day. Will it be an #Indiansummer
joy,Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.
optimism,@HartRamsey #UPLIFT If you're still discouraged it means UR Listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!
fear,I get so nervous even thinking about talking to ****** I wanna die
sadness,Everywhere I go, the air I breathe in tastes like home.' - @The_Currys #restless
joy,Watch this amazing live.ly broadcast by @ittzdevin #lively #musically
anger,@iAmSJ I'm so mad for our clients I'm furious lmao
anger,I swear if @devincameron23 blocks me I'm going to hit her back 
sadness,Why bother tweeting poor men's? \nWhat good does it do?  If I'm unable to be cheery,  I go quiet.  Missed you,  btw
optimism,Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday  #politeness
optimism,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage
joy,@RashidAlMaktoum For #serious #intermediaries all required info about #project or #Owner will be mailed.
fear,@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety
joy,Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars) #breathless #bars #rap
anticipation,[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.
anger,How am I supposed to intimidate the freshman if half of them are taller than I am??
anticipation,someone kik me @ montanashay_ \n#kikme #snap
sadness,No sober weekend 🙂🙂🙂
optimism,So blend the waters lie\nThere shrines and free-  The melancholy waters lie\nNo rays from out the dull tide-  As if the vine
joy,I like cycling because I get to intimidate people with my powerful calves &amp; horrendous tan lines.
joy,#Jazz - the #blues is the roots, the rest is the fruits
fear,I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure #anxiety
joy,@InfluensterVox @irontekfit I love my #IronTekFit protein shake in the morning before yoga! #ESVoxbox
anticipation,@JonnyOwenFilm @ringsiderobbie1 can you remember that train Sunday after Froch v Kessler ? 
anticipation,Who actually chooses to drink sparkling water 🤔
fear,@MLB @JoeyBats19 Sam Dyson is probably having flashbacks right about now. #nightmare
fear,I'm so over having anxiety
fear,I would just give her with their naked body. #afraid
joy,oh yay old scientist builds himself a robot assistant and makes it look like a hot naked woman nothing alarming here
anger,@RogueFatale Oh, you insult me! What, you think just because I look like this, I'm psycho? I'm more sane than most Gotham freaks...
optimism,Update: I have yet to hang out with @MisElizaJane, but I'm still hopeful! #optimism
joy,Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me . #farm365
disgust,@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? 
fear,I lost my blinders .... #panic
anticipation,@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?
fear,MSM stoking #fear. Please remember the beautiful prayerful protests in Dallas and Atlanta. Smile at a stranger. We make each other strong.
joy,@npagliaro1 That's awesome!  p.s. ok, what are the odds of that, swapping neighborhoods? 
anger,@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming
optimism,Tip 5: Don't worry about pleasing everyone. #TitanWisdom
optimism,My interview went well today, I can't wait to find out what happens. #nervous #excited #interview #jobinterview
disgust,That is at least the 3rd time the balls been burst in our games
fear,@AllyTheRipper @ProoF @SpaitoGaming every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on..
