label,text
fear,Was nearly knocked down by a car.
anger,I reached the bus stop and realized that I had forgotten my bus pass.
sadness,My current work load is too much.  The feeling comes back from time to time.
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
guilt,"I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help."
joy,"An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed \clever people\"" and he had \""immediately thought of me.\"""""
fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.
anger,I saw a report on T.V news on apartheid in South Africa. 
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
guilt,The time that I had to put my dog to sleep.
sadness,Long illness.
joy,When I passed an exam.
fear,"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out."
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
disgust,If a guy one is not interested in makes advances.
shame,I drink wine too often.
guilt,I do not study enough as I do not understand it properly.
joy,I worked at a lawyer's office during Summer and I got a very good reference from him.
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. 
anger,"When I am accused of something I have not done, I get unbelievably angry."
sadness,"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up."
disgust,Someone vomited on the street.
shame,"I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia."
guilt,I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
disgust,When I saw a dog which had been knocked down by a car.
shame,When I boxed my child's ears.
guilt,When I was fined for speeding.
joy,I stopped working (had a boring job).
fear,"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house."
anger,Quarrel in the family.
sadness,When I am alone in a room with no contact with anyone - loneliness drains me.
disgust,When I was on holiday someone vomited in front of me.
shame,Emptied a bucket of water in a hospital.
guilt,When I feigned sick leave from work.
joy,When I get a hug from someone I love.
fear,I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.
anger,My car had been towed away by the traffic police because it had been wrongly parked.  However the sign had been put up only after I had already parked.
sadness,After an operation I had to stay in bed for a long time.
disgust,I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.
shame,When I did not buy what I had promised to.
guilt,By mistake I took a book from the library which was not supposed to be loaned out.
joy,When I won an unexpected sum of money.
fear,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.
anger,A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.
sadness,"I wanted to be pregnant and did not succeed, so I was depressed    at every menstruation."
disgust,"In a warm bus full of people, someone vomited and the whole bus stank."
shame,"I complained about a colleague's behaviour as she goes back on her word, is often absent and is irresponsible.  I found out that she was an alcoholic and was trying to fight againt her addiction."
guilt,I spoke to my mother on the phone.  She had skin cancer and was waiting to be operated.  I forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing. 
joy,When I was at a party I met an old friend from an adult education course.  We had not met for 2 years but had both thought a lot about each other.  A wonderful experience.á 
fear,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time."
anger,When close relatives tried to dissuade me from studying Psychology because of its low status.
sadness,I had a long discussion on politics with an acquaintance.  He was more knowledgeable than me and I failed to explain my point of view and was misunderstood so I felt depressed and left.
disgust,When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious.
shame,My mother revealed personal details about me and the negative aspects of my character to other people when I was present but unable to defend myself.
guilt,I was unfaithful to my partner once when he was working abroad for a long period.
joy,When I recently got an appartment in central Gottenburg.
fear,When I saw a large spider crawling up the wall.
anger,My employer took too many aspirins for a bad back and also drank an enormous amount of spirit.  This was dangerous  and he did not understand that he had done anything wrong.
sadness,"When I left New York, and all my family and my friends behind me."
disgust,When I slept with a guy because my best friend wanted me to.  He had never had intercourse with anyone and had a terrible complex about it.
shame,When I dated a close girlfriend's boyfriend a few times. He told me that it was over between them and I accepted it.  When she found out she finished our friendship.
guilt,"When I broke off with my boyfriend after three years.  It was quite unexpected for him and there was no particular reason for the break up, such as someone else."
joy,When my son returned from mountaineering - healthy in body and soul.
fear,When one meets new people with whom one is forced to collaborate with.
anger,The sports fishermen who catch gulls instead of fish with their hooks.   It is often a mistake but it makes me angry.
sadness,I feel sad about an event I can not influence.
disgust,"When a member of the family complains about the food that is served, it disgusts me."
shame,Cannot recall any incident when I felt shame
guilt,I have chosen to put my son in a private school were the examination marks are low.  Every time that he gives me his term results I am left with a sense of guilt.
joy,When I was informed that I had been accepted as a student of Psychology.
fear,When I was in a little fishing boat and we ran into hard weather in the open sea.
anger,When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.
sadness,I felt sad and depressed when I heard that our cat had died.
disgust,"When I was working as a nurse in a mental hospital, a patient ate up the contents of another patient's spitoon."
shame,"At primary school, when I vomited in front of others in the middle  of a lesson."
guilt,I arrived an hour late for an important meeting ( I had misunderstood the time).
joy,When I was acceptted as a student of psychology.
fear,When my son has a pain in his leg (for no apparent reason).  
anger,"When, after a week at school, a teacher sent a note home saying that my son was inattentive and unable to do his lessons."
sadness,When I thought that it was going to be impossible for me to start studying (due to wrong information from the student advisor).
disgust,"At a certain person's lack of cleanliness, at home and personally."
shame,"When I made the same mistake that I had accused someone else of, and this was obvious to a third pereson."
guilt,When I lost something that was valuable to my sister.
joy,When my son was born.
fear,When I nearly drowned in icy water wearing ice skates.  It was difficult to get out.
anger,When I was pointed out as a problem child in primary school and my mother took the teacher's point of view.
sadness,When I was accused of neglecting work for the wrong reasons.
disgust,"My parents attitude towards each other when they should become reconciled, despite my father's long-time addiction."
shame,When I was caught stealing money from my father.
guilt,I stole a coconut cake from a reception table and when I put in my mouth I realized that the host was watching me.
joy,"When after 10 months of national service I was \downgraded\"" and did not have to do the remaining 5 months."""
fear,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours.  They could have easily waited.
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.
disgust,When I was about to clean the draining board and saw it looked underneath the sink (I live in a students hostel).
shame,When my mother caught me masturbating.
guilt,"As the only person in my family into academics, I ought to have looked after my younger (and only) sister better, with respect to her education and life experiences."
joy,When my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday.
fear,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel.  I never discovered who it was and why he was there.
anger,"When we were in high school a few guys sometimes provoked a friend of mine.  They called her a pig and then grunted.  This irritated most of the girls.  Once, one of the girls got angry at my friend and said something nasty and this made me terribly angry."
sadness,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him.  I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.
disgust,A mother who shouts at her child for nothing.
shame,"When I complained to my mother about how untidy the kitchen loooked, she boxed my ears ( this had never happened before)."
guilt,"As I could not be home before midnight I called home at 11.30 and asked them to leave the door open so that I could get in.  I actually woke up the whole family by calling them so late.  My mother could not go back to sleep, besides she had a conference   the next day and really needed to sleep."
joy,When I got through the first day here at the department.
fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.
anger,When my boyfriend sat up half the night playing computer games with a friend.
sadness,When I had to leave my mother and my sister after a week's visit.
disgust,When I saw a big spider from very close.
shame,When I asked a friend to return the money that I had loaned her and then remembered that she had repayed me in several ways.
guilt,When one of my parents insinuates something about the other (they are divorced).
joy,When i was asked to be a child's godmother.
fear,On the way down a ski slope which was difficult and steep.
anger,When my mother interfered in my life.
sadness,When I was left alone one week-end without being prepared for it.
disgust,The first time that I saw a surgeon cut off a leg and put it in a black rubbish bag.
shame,When I forgot about a meeting at work.
guilt,When I demand too much from my friends.
joy,When my husband suddenly came to see me at my new job and brought some flowers and cake with him.
fear,When I was nearly attackad by a man who had been chasing me.
anger,"When my father asked me if I was a communist, at the same time he made it clear that I should no longer see myself as his daughter."
sadness,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job."
disgust,T.V features showing the violation of defenceless people.
shame,When I as a child of 9 or 10 I was playing doctor with the neighbours boys their mother caught us.
guilt,When my husband talked about the restrictions he will have to accept in his life to make our marriage work.  I felt that it was directed at me as it was me who had demanded the changes.  We were with a marriage counsellor then.
joy,When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.
fear,Vertigo - standing on a ladder and painting the house.
anger,When my boss enrolled in a course to satisfy his own ends - to trample on his associates.  I have the misfortune to have one of my superiors in my course.
sadness,When I argue with my mother about the way she treats her two children differently.
disgust,Spit and vomit.
shame,Spots on the seat covers of my husband's car.
guilt,Not speaking to my sister-in-law due to lack of interest in a relationship on my side.
joy,"When I recently managed to get my first consulting assignment \myself\"" i.e on my own initiative."""
fear,I was within a hair's breadth of knocking down a drunkard who suddenly ran into the street.  The fear came later when I     realized what could have happened.
anger,"When my friend, as usual, forgot the tickets at home for a performance.  We missed it."
sadness,"The elections of 1982 and 1985.  The thought of what a social democrat and communist majority could achieve, especially \worker share\"" funds and its extension."""
disgust,"A study visit to a chicken factory : the butchery, the smell, the environment and the noise."
shame,Confession to my parents about my involvement in a moped theft.
joy,When I was appointed to position of trust in a group set up to change the working environment.
fear,I was alone in a cottage I often stay in.  I was woken up by a rustling sound in the middle of the night.
anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times)."
sadness,When the result of a project work was treated nonchalantly intead of being criticized by the teacher.
disgust,When programmes on violence or pornography are shown on T.V.
shame,When I talked maliciously about a colleague at work to someone else.  Immediately afterwards I felt ashamed.
guilt,When I decided to take a week s holiday without consulting the family first.
joy,After my girl and I talked things over our relationship changed and became positive.  A diificult time turned into pleasant one.
fear,When we could not land our plane and we knew that the fuel was running out.  Bad weather had already frightened us.
anger,When I read about Reagan's tactical decision concerning the South African boycott.
sadness,When my half brother became seriously ill with cancer and died later.
disgust,A film were a woman was attacked and raped.  One did not see the worst but it had the desired effect - very strong.
shame,I made a comment and it was interpreted completely differently from what I had meant.  When I said it I realized how my mother had understood it.
guilt,I had promised to visit my girlfriend but for different reasons could not make it.  I rang up later to tell her that I could not come.
joy,"When I was offered a high position of trust, which I later accepted."
fear,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.
anger,Some noisy guests arrived at the hotel.  I had been slightly irritated earlier.  At night when I was trying to sleep they were having a party so I went and yelled at them.  I wanted to sleep as I had to get up early the next day.
